business name,address,longitude,latitude,state,city,zip_code,ranking,rating,web_url,reviews_count,license type,type,retailer_services,date scraped
OG CENTRAL,6908 S CENTRAL AVE,-118.25618,33.977237,California,LOS ANGELES,90001,4.755356239115375,4.85623003194888,https://weedmaps.com/dispensaries/og-central,313,medical,dispensary,['storefront'],11012019
Divine Choice Delivery,,-118.256421,33.989345,California,South LA,90001,3.841096839940952,4.52,https://weedmaps.com/deliveries/divine-choice-delivery-9,25,medical,delivery,['delivery'],11012019
LA Collective,8826 South Vermont,-118.291357,33.956804,California,Los Angeles,90044,3.74882700382041,4.20454545454545,https://weedmaps.com/dispensaries/crown-collective-la-south-la,44,medical,dispensary,['storefront'],11012019
Crown Collective LA,1319 E Florence Ave,-118.251314,33.975134,California,Los Angeles,90001,4.508312385798306,4.60248447204969,https://weedmaps.com/dispensaries/crown-collective-la,483,medical,dispensary,['storefront'],11012019
Broadway LA Pharmacy - 30 CAP,9304 S. Broadway,-118.277845,33.951708,CA,Los Angeles,90003,4.663405635132129,4.71902017291066,https://weedmaps.com/dispensaries/santa-ana-outrageousness,694,medical,dispensary,['storefront'],11012019
Omnia Industry,6420 Wilmington Ave.,-118.238455,33.981046,California,Los Angeles,90001,4.18246997338649,4.47311827956989,https://weedmaps.com/dispensaries/omnia-industry-dispensary,93,hybrid,dispensary,['storefront'],11012019
Goblin Kingz,6507 S. Vermont Ave,-118.291972,33.980313,California,Los Angeles,90044,4.43829853673415,4.85,https://weedmaps.com/dispensaries/goblin-kingz-1,40,medical,dispensary,['storefront'],11012019
420 Degrees,,-118.264784,33.960414,CA,Los Angeles,90001,4.21289348759669,4.75757575757576,https://weedmaps.com/deliveries/420-degrees-10,33,medical,delivery,['delivery'],11012019
LA Green Run - South LA / Watts,,-118.265803,33.945624,California,Los Angeles,90003,4.19219123512561,4.46181818181818,https://weedmaps.com/deliveries/la-green-run-south-la-2,110,medical,delivery,['delivery'],11012019
Hot Box 20 Cap Collective,6600 Holmes Ave,-118.240861,33.979507,CA,Los Angeles,90001,4.885723753509162,4.90501089324619,https://weedmaps.com/dispensaries/vee-account,3213,medical,dispensary,['storefront'],11012019
Green Gears 20 Cap,10837 S. Vermont Avenue Unit C,-118.292335,33.937498,California,Los Angeles,90044,4.628023688038628,4.67675159235669,https://weedmaps.com/dispensaries/green-gears-20-cap,628,medical,dispensary,['storefront'],11012019
Green Monkey,,-118.265286,33.974724,California,Los Angeles,90003,3.73434373948387,3.99324324324324,https://weedmaps.com/deliveries/green-monkey,148,medical,delivery,['delivery'],11012019
High Roller - Grand Opening 10/23!,8100 S. Central Ave,-118.256158,33.965518,California,Los Angeles,90001,3.434212814080906,5.0,https://weedmaps.com/dispensaries/high-roller,6,medical,dispensary,['storefront'],11012019
Take Flight LA,,-118.292286,33.9733,California,Los Angeles,90044,3.6647081135969,4.15555555555556,https://weedmaps.com/deliveries/take-flight-la,45,medical,delivery,['delivery'],11012019
Scooters,11318 S. Vermont Ave,-118.29136,33.93178,California,Los Angeles,90044,4.923799633092753,4.9392047321722,https://weedmaps.com/dispensaries/skooters,3043,medical,dispensary,['storefront'],11012019
OG Top Shop,8836 South Vermont,-118.29137,33.95718,California,Los Angeles,90044,4.915238282382491,4.928,https://weedmaps.com/dispensaries/vermont-gas,3825,medical,dispensary,['storefront'],11012019
OMG Avalon 20 Cap Collective,8018 Avalon Blvd,-118.264877,33.965903,CA,Los Angeles,90003,4.87600688763608,4.89898892633606,https://weedmaps.com/dispensaries/535-collective,2077,medical,dispensary,['storefront'],11012019
Loud 20 Cap,157-159 East Florence,-118.272003,33.974956,CA,Los Angeles,90003,4.85617259273397,4.87333333333333,https://weedmaps.com/dispensaries/loud-30-cap-collective,3120,medical,dispensary,['storefront'],11012019
Vermont 30 Cap,8918 S Vermont Ave,-118.29127,33.955963,California,Los Angeles,90044,4.833164653822105,4.86358754027927,https://weedmaps.com/dispensaries/vermont-30-cap,931,medical,dispensary,['storefront'],11012019
20 COLLECTIVE,1789 Firestone Blvd,-118.240531,33.960331,CA,Los Angeles,90001,4.807045081030766,4.84417549167927,https://weedmaps.com/dispensaries/green-stock-20,661,medical,dispensary,['storefront'],11012019
LA Treehouse,1216 West Florence Ave,-118.29693,33.974322,California,Los Angeles,90044,4.48041346347707,4.69827586206897,https://weedmaps.com/dispensaries/la-treehouse,116,medical,dispensary,['storefront'],11012019
Green Temple,7416 S Central Ave.,-118.256251,33.972778,California,Los Angeles,90001,4.44083490268415,4.66666666666667,https://weedmaps.com/dispensaries/green-temple-compton,123,medical,dispensary,['storefront'],11012019
Green Garden Collective,11414 S Vermont Ave.,-118.291258,33.930478,CA,Los Angeles,90044,4.42230009237224,4.5203426124197,https://weedmaps.com/dispensaries/green-garden-collective-3,467,medical,dispensary,['storefront'],11012019
The Originals Factory & Weed Shop,6500 Stanford Ave,-118.26285,33.98087,California,Los Angeles,90001,4.353411606092719,4.68055555555556,https://weedmaps.com/dispensaries/the-originals-factory-weed-shop,72,medical,dispensary,['storefront'],11012019
Green Dream Caregivers 24 Hours,Normandie Ave,-118.300026,33.978935,California,Los Angeles,90044,4.288973278949062,4.46818181818182,https://weedmaps.com/dispensaries/sepulveda-caregivers,220,medical,dispensary,['storefront'],11012019
Weed 4 Less 15 Cap,7500 S. Main St.,-118.273791,33.972033,California,Los Angeles,90003,4.180904165815679,4.4,https://weedmaps.com/dispensaries/weed-4-less-15-cap,165,medical,dispensary,['storefront'],11012019
Central Hotbox,7616 South Central Avenue,-118.256164,33.970961,California,Los Angeles,90001,4.170293222269656,4.52173913043478,https://weedmaps.com/dispensaries/central-hotbox,69,medical,dispensary,['storefront'],11012019
Puffy Delivery - Los Angeles,,-118.256398,33.97477,California,Los Angeles,90001,3.646054254722332,3.86301369863014,https://weedmaps.com/deliveries/organix-simi-valley,219,hybrid,delivery,['delivery'],11012019
DOC420 South L.A.,Please visit our website: www.doc420.com,-118.291603,33.960021,California,Los Angeles,90044,4.68158063552875,4.91208791208791,https://weedmaps.com/doctors/doc420-south-l-a,91,medical,doctor,['doctor'],11012019
420Recs.com- South La (100% Online),420recs.com,-118.273978,33.989486,ca,Los Angeles,90037,3.12303065061999,4.14,https://weedmaps.com/doctors/420recs-com-south-la,10,medical,doctor,['doctor'],11012019
420AvalonMD,603 E. 121th Street,-118.264937,33.923061,CA,Los Angeles,90059,4.240961094388643,4.9578947368421,https://weedmaps.com/doctors/420avalonmd,19,medical,doctor,['doctor'],11012019
